,Total,"Men, 20 years and over","Women, 20 years and over",16 to 19 years old,White,Black or African American,Asian,Hispanic or Latino,Wages and salaries,Benefits,All items,Food,Food at home,Food away from home,Energy,Gasoline (all types),Electricity,Natural gas (piped),All items less food and energy,Commodities less food and energy commodities,Apparel,New vehicles,Medical care commodities,Services less energy services,Shelter,Medical care services,Education and communication
2010-11-01,,,,,,,,,,,1.1,1.5,1.7,1.3,3.9,7.3,0.3,-4.8,0.8,-0.2,-0.8,-0.4,2.7,1.1,0.2,3.4,1.6
2010-11-30,9.8,9.9,8.4,24.8,8.9,16.2,7.5,12.9,,,,,,,,,,,,,,,,,,,
2010-12-01,,,,,,,,,1.8,2.9,1.5,1.5,1.7,1.3,7.7,13.8,0.7,-2.8,0.8,-0.4,-1.1,-0.2,2.9,1.3,0.4,3.4,1.3
2010-12-31,9.3,9.4,8.0,25.3,8.5,15.5,7.2,12.9,,,,,,,,,,,,,,,,,,,
2011-01-01,,,,,,,,,,,1.6,1.8,2.1,1.5,7.3,13.4,1.2,-6.4,1.0,-0.2,0.0,0.1,2.7,1.4,0.6,3.0,1.2
2011-01-31,9.1,9.0,7.9,25.7,8.1,15.8,6.8,12.3,,,,,,,,,,,,,,,,,,,
2011-02-01,,,,,,,,,,,2.1,2.3,2.8,1.6,11.0,19.2,2.2,-5.9,1.1,0.0,-0.4,0.9,2.7,1.5,0.8,3.0,1.2
2011-02-28,9.0,8.9,7.9,24.1,8.1,15.5,6.7,11.8,,,,,,,,,,,,,,,,,,,
2011-03-01,,,,,,,,,1.6,3.0,2.7,2.9,3.6,1.9,15.5,27.5,1.0,-5.5,1.2,0.2,-0.6,1.6,2.8,1.6,0.9,2.7,1.1
2011-03-31,9.0,8.8,7.8,24.4,8.0,15.8,7.3,11.6,,,,,,,,,,,,,,,,,,,
2011-04-01,,,,,,,,,,,3.2,3.2,3.9,2.1,19.0,33.1,0.6,-1.5,1.3,0.7,0.1,2.4,3.1,1.6,1.0,2.8,1.0
2011-04-30,9.1,8.9,8.0,24.7,8.1,16.5,6.5,11.9,,,,,,,,,,,,,,,,,,,
2011-05-01,,,,,,,,,,,3.6,3.5,4.4,2.2,21.5,36.9,1.8,-1.2,1.5,1.2,1.0,3.4,3.0,1.6,1.1,3.0,1.0
2011-05-31,9.0,8.8,8.0,23.9,7.9,16.3,7.2,11.6,,,,,,,,,,,,,,,,,,,
2011-06-01,,,,,,,,,1.7,4.0,3.6,3.7,4.7,2.3,20.1,35.6,1.5,-0.8,1.6,1.6,1.9,4.0,2.9,1.6,1.2,2.9,1.0
2011-06-30,9.1,9.0,8.0,24.5,8.1,16.2,6.5,11.5,,,,,,,,,,,,,,,,,,,
2011-07-01,,,,,,,,,,,3.6,4.2,5.4,2.6,19.0,33.6,2.0,-2.8,1.8,1.8,3.1,4.0,3.2,1.7,1.4,3.2,1.0
2011-07-31,9.0,8.8,7.9,24.7,8.0,15.9,7.4,11.2,,,,,,,,,,,,,,,,,,,
2011-08-01,,,,,,,,,,,3.8,4.6,6.0,2.7,18.4,32.4,1.9,-2.0,2.0,2.1,4.2,3.8,3.0,1.9,1.6,3.3,1.1
2011-08-31,9.0,8.7,7.9,25.0,7.9,16.4,7.2,11.2,,,,,,,,,,,,,,,,,,,
2011-09-01,,,,,,,,,1.7,3.3,3.9,4.7,6.3,2.6,19.3,33.3,2.7,0.2,2.0,2.0,3.5,3.6,3.0,2.0,1.7,2.8,1.1
2011-09-30,9.0,8.7,8.2,24.4,7.9,15.9,8.0,11.2,,,,,,,,,,,,,,,,,,,
2011-10-01,,,,,,,,,,,3.5,4.7,6.2,2.7,14.2,23.5,2.9,-2.2,2.1,2.1,4.2,3.4,3.1,2.1,1.8,3.1,1.4
2011-10-31,8.8,8.6,7.8,24.2,7.9,14.6,7.4,11.3,,,,,,,,,,,,,,,,,,,
2011-11-01,,,,,,,,,,,3.4,4.6,5.9,2.9,12.4,19.7,2.7,-1.3,2.2,2.2,4.8,3.3,3.1,2.1,1.8,3.5,1.4
2011-11-30,8.6,8.2,7.8,24.2,7.7,15.6,6.4,11.2,,,,,,,,,,,,,,,,,,,
2011-12-01,,,,,,,,,1.6,3.6,3.0,4.7,6.0,2.9,6.6,9.9,2.2,-3.7,2.2,2.2,4.6,3.2,3.2,2.3,1.9,3.6,1.7
2011-12-31,8.5,8.0,7.8,23.3,7.5,15.4,6.8,11.1,,,,,,,,,,,,,,,,,,,
2012-01-01,,,,,,,,,,,2.9,4.4,5.3,3.1,6.1,9.7,2.4,-5.5,2.3,2.2,4.7,3.2,3.2,2.3,2.0,3.7,1.8
2012-01-31,8.3,7.7,7.6,23.6,7.4,13.6,6.7,10.7,,,,,,,,,,,,,,,,,,,
2012-02-01,,,,,,,,,,,2.9,3.9,4.5,3.1,7.0,12.6,1.9,-9.8,2.2,2.0,4.2,3.0,3.3,2.2,2.0,3.4,1.9
2012-02-29,8.3,7.7,7.6,23.8,7.4,14.0,6.2,10.9,,,,,,,,,,,,,,,,,,,
2012-03-01,,,,,,,,,1.9,2.8,2.7,3.3,3.6,3.0,4.6,9.0,0.6,-9.1,2.3,2.1,4.9,2.5,3.3,2.3,2.1,3.5,2.0
2012-03-31,8.2,7.7,7.4,24.8,7.3,14.0,6.4,10.6,,,,,,,,,,,,,,,,,,,
2012-04-01,,,,,,,,,,,2.3,3.1,3.3,2.9,0.9,3.2,0.6,-11.6,2.3,2.0,5.1,2.2,2.7,2.4,2.2,3.7,2.0
2012-04-30,8.2,7.6,7.4,25.0,7.4,13.3,5.4,10.3,,,,,,,,,,,,,,,,,,,
2012-05-01,,,,,,,,,,,1.7,2.8,2.7,2.9,-3.9,-4.0,0.2,-14.9,2.3,1.6,4.4,1.3,2.7,2.5,2.3,3.9,2.2
2012-05-31,8.2,7.7,7.4,24.4,7.4,13.5,5.5,10.9,,,,,,,,,,,,,,,,,,,
2012-06-01,,,,,,,,,1.8,1.9,1.7,2.7,2.6,2.9,-3.9,-4.3,0.5,-13.6,2.2,1.4,3.9,0.9,2.9,2.5,2.2,4.3,2.2
2012-06-30,8.2,7.7,7.4,23.3,7.3,14.5,6.1,10.9,,,,,,,,,,,,,,,,,,,
2012-07-01,,,,,,,,,,,1.4,2.3,1.9,2.9,-5.0,-5.5,-1.3,-12.7,2.1,1.1,3.0,0.8,3.4,2.5,2.1,4.4,2.1
2012-07-31,8.2,7.7,7.4,23.6,7.3,14.2,5.9,10.2,,,,,,,,,,,,,,,,,,,
2012-08-01,,,,,,,,,,,1.7,2.0,1.5,2.8,-0.6,1.8,-1.2,-11.2,1.9,0.7,1.7,1.0,3.6,2.4,2.1,4.2,1.5
2012-08-31,8.1,7.6,7.3,24.2,7.2,13.8,5.9,10.1,,,,,,,,,,,,,,,,,,,
2012-09-01,,,,,,,,,1.8,2.2,2.0,1.6,0.8,2.8,2.3,6.8,-1.5,-10.7,2.0,0.7,2.7,1.0,3.3,2.5,2.2,4.4,1.5
2012-09-30,7.8,7.3,7.1,23.8,7.0,13.6,4.9,9.7,,,,,,,,,,,,,,,,,,,
2012-10-01,,,,,,,,,,,2.2,1.7,1.0,2.7,4.0,9.1,-1.2,-8.4,2.0,0.7,3.0,1.0,3.0,2.5,2.3,3.9,1.5
2012-10-31,7.8,7.2,7.1,23.9,6.9,14.1,4.9,10.0,,,,,,,,,,,,,,,,,,,
2012-11-01,,,,,,,,,,,1.8,1.8,1.3,2.6,0.3,1.9,-0.7,-4.7,1.9,0.5,1.8,1.4,2.3,2.5,2.2,3.7,1.5
2012-11-30,7.7,7.2,7.0,23.9,6.8,13.3,6.3,9.9,,,,,,,,,,,,,,,,,,,
2012-12-01,,,,,,,,,1.7,2.0,1.7,1.8,1.3,2.5,0.5,1.7,-0.5,-2.9,1.9,0.3,1.8,1.6,1.7,2.5,2.2,3.7,1.5
2012-12-31,7.9,7.2,7.4,24.1,6.9,14.0,6.6,9.6,,,,,,,,,,,,,,,,,,,
2013-01-01,,,,,,,,,,,1.6,1.6,1.1,2.3,-1.0,-1.5,0.5,-2.5,1.9,0.4,2.1,1.7,1.5,2.5,2.2,3.6,1.6
2013-01-31,8.0,7.5,7.2,23.7,7.1,13.7,6.4,9.7,,,,,,,,,,,,,,,,,,,
2013-02-01,,,,,,,,,,,2.0,1.6,1.2,2.3,2.3,3.3,0.8,1.3,2.0,0.3,2.4,1.1,0.8,2.6,2.3,3.9,1.7
2013-02-28,7.7,7.0,7.0,25.2,6.8,13.8,6.0,9.7,,,,,,,,,,,,,,,,,,,
2013-03-01,,,,,,,,,1.7,2.0,1.5,1.5,1.0,2.3,-1.6,-3.1,0.9,1.8,1.9,0.0,0.8,1.1,0.6,2.5,2.2,3.9,1.8
2013-03-31,7.5,6.9,6.9,24.0,6.7,13.0,5.1,9.3,,,,,,,,,,,,,,,,,,,
2013-04-01,,,,,,,,,,,1.1,1.5,1.0,2.3,-4.3,-8.3,1.1,7.6,1.7,-0.1,0.3,1.2,0.7,2.3,2.2,3.4,1.5
2013-04-30,7.6,7.2,6.7,24.4,6.7,13.3,5.3,9.0,,,,,,,,,,,,,,,,,,,
2013-05-01,,,,,,,,,,,1.4,1.4,0.8,2.3,-1.0,-4.1,1.7,14.2,1.7,-0.2,0.2,1.1,0.0,2.3,2.3,2.9,1.3
2013-05-31,7.5,7.1,6.5,24.4,6.7,13.4,4.5,9.0,,,,,,,,,,,,,,,,,,,
2013-06-01,,,,,,,,,1.9,1.9,1.8,1.4,0.9,2.2,3.2,2.8,1.9,11.7,1.6,-0.2,0.8,1.2,0.1,2.3,2.3,2.8,1.2
2013-06-30,7.5,7.0,6.8,23.1,6.6,14.2,4.7,9.1,,,,,,,,,,,,,,,,,,,
2013-07-01,,,,,,,,,,,2.0,1.4,1.0,2.1,4.7,5.2,3.1,8.8,1.7,-0.2,1.6,1.2,-0.1,2.4,2.3,2.6,1.3
2013-07-31,7.3,7.0,6.3,23.3,6.5,12.6,5.3,9.4,,,,,,,,,,,,,,,,,,,
2013-08-01,,,,,,,,,,,1.5,1.4,1.0,2.0,-0.1,-2.4,2.8,4.8,1.8,0.0,1.8,1.1,0.0,2.4,2.4,3.1,1.6
2013-08-31,7.2,7.1,6.2,22.5,6.4,12.8,5.1,9.2,,,,,,,,,,,,,,,,,,,
2013-09-01,,,,,,,,,1.8,2.0,1.2,1.4,1.0,1.9,-3.1,-7.5,3.2,5.3,1.7,-0.1,0.8,1.2,0.2,2.4,2.4,3.1,1.5
2013-09-30,7.2,7.1,6.2,21.3,6.3,13.0,5.4,8.8,,,,,,,,,,,,,,,,,,,
2013-10-01,,,,,,,,,,,1.0,1.3,0.8,1.9,-4.8,-10.1,3.0,4.4,1.7,-0.1,-0.2,1.0,0.5,2.3,2.3,2.9,1.6
2013-10-31,7.2,6.9,6.3,22.2,6.3,12.8,5.4,9.1,,,,,,,,,,,,,,,,,,,
2013-11-01,,,,,,,,,,,1.2,1.2,0.6,2.1,-2.4,-5.8,2.9,1.0,1.7,-0.2,-0.1,0.6,0.8,2.4,2.4,2.6,1.6
2013-11-30,6.9,6.6,6.2,20.7,6.1,12.3,5.2,8.7,,,,,,,,,,,,,,,,,,,
2013-12-01,,,,,,,,,2.1,1.9,1.5,1.1,0.4,2.1,0.5,-1.0,3.2,-0.1,1.7,-0.1,0.6,0.4,0.3,2.3,2.5,2.5,1.6
2013-12-31,6.7,6.3,6.1,20.4,5.9,11.9,4.3,8.3,,,,,,,,,,,,,,,,,,,
2014-01-01,,,,,,,,,,,1.6,1.1,0.5,2.0,2.1,0.1,4.4,4.9,1.6,-0.3,-0.3,0.0,0.8,2.3,2.6,2.5,1.3
2014-01-31,6.6,6.2,5.8,20.4,5.7,12.1,4.7,8.3,,,,,,,,,,,,,,,,,,,
2014-02-01,,,,,,,,,,,1.1,1.4,0.9,2.2,-2.5,-8.1,3.8,8.3,1.6,-0.4,-0.6,0.3,1.7,2.2,2.6,2.4,1.1
2014-02-28,6.7,6.3,5.9,21.4,5.8,11.8,5.9,8.2,,,,,,,,,,,,,,,,,,,
2014-03-01,,,,,,,,,1.7,1.8,1.5,1.7,1.4,2.3,0.4,-4.7,5.3,16.4,1.7,-0.3,0.5,0.2,1.3,2.3,2.7,2.4,1.1
2014-03-31,6.7,6.1,6.2,20.8,5.8,12.1,5.5,7.9,,,,,,,,,,,,,,,,,,,
2014-04-01,,,,,,,,,,,2.0,1.9,1.7,2.2,3.3,2.4,2.1,11.8,1.8,-0.3,0.6,0.4,1.6,2.6,2.8,2.7,1.5
2014-04-30,6.2,5.9,5.6,19.4,5.3,11.6,5.9,7.2,,,,,,,,,,,,,,,,,,,
2014-05-01,,,,,,,,,,,2.1,2.5,2.7,2.2,3.3,2.3,3.6,7.3,2.0,-0.2,0.8,0.5,2.5,2.7,2.9,3.0,1.5
2014-05-31,6.3,5.9,5.8,19.3,5.4,11.4,5.7,7.7,,,,,,,,,,,,,,,,,,,
2014-06-01,,,,,,,,,1.9,2.4,2.1,2.3,2.4,2.2,3.2,2.0,4.2,5.1,1.9,-0.2,0.9,0.0,2.8,2.7,2.8,2.6,1.6
2014-06-30,6.1,5.7,5.3,20.4,5.3,11.0,4.7,7.8,,,,,,,,,,,,,,,,,,,
2014-07-01,,,,,,,,,,,2.0,2.5,2.7,2.4,2.6,0.8,4.0,6.9,1.9,-0.3,0.3,0.2,3.0,2.6,2.9,2.5,1.6
2014-07-31,6.2,5.7,5.6,20.3,5.3,11.6,4.2,7.7,,,,,,,,,,,,,,,,,,,
2014-08-01,,,,,,,,,,,1.7,2.7,2.9,2.5,0.4,-2.8,4.1,5.8,1.7,-0.4,0.0,0.4,2.6,2.5,2.9,1.9,1.5
2014-08-31,6.1,5.7,5.6,19.4,5.3,11.4,4.5,7.4,,,,,,,,,,,,,,,,,,,
2014-09-01,,,,,,,,,2.3,2.3,1.7,3.0,3.2,2.7,-0.6,-3.6,2.8,5.8,1.7,-0.3,0.5,0.3,2.9,2.4,3.0,1.7,1.3
2014-09-30,5.9,5.3,5.5,20.1,5.1,11.0,4.4,6.8,,,,,,,,,,,,,,,,,,,
2014-10-01,,,,,,,,,,,1.7,3.1,3.3,2.8,-1.6,-5.0,3.1,3.4,1.8,-0.2,0.7,0.6,2.6,2.5,3.0,1.9,0.8
2014-10-31,5.7,5.1,5.4,18.7,4.9,10.6,5.1,6.8,,,,,,,,,,,,,,,,,,,
2014-11-01,,,,,,,,,,,1.3,3.2,3.4,2.9,-4.8,-10.5,2.8,3.2,1.7,-0.5,-0.3,0.6,3.1,2.5,3.0,2.3,0.6
2014-11-30,5.8,5.4,5.3,17.2,5.0,10.9,4.8,6.6,,,,,,,,,,,,,,,,,,,
2014-12-01,,,,,,,,,2.2,2.5,0.8,3.4,3.7,3.0,-10.6,-21.0,3.1,5.8,1.6,-0.8,-2.0,0.5,4.8,2.4,2.9,2.4,0.4
2014-12-31,5.6,5.2,5.1,16.9,4.7,10.6,4.4,6.4,,,,,,,,,,,,,,,,,,,
2015-01-01,,,,,,,,,,,-0.1,3.2,3.3,3.1,-19.6,-35.4,2.5,-0.4,1.6,-0.8,-1.4,0.5,3.9,2.5,2.9,2.3,0.4
2015-01-31,5.7,5.3,5.0,18.5,4.9,10.3,4.0,6.7,,,,,,,,,,,,,,,,,,,
2015-02-01,,,,,,,,,,,0.0,3.0,2.9,3.1,-18.8,-32.8,3.2,-6.5,1.7,-0.5,-0.8,0.6,3.9,2.5,3.0,1.8,0.4
2015-02-28,5.5,5.2,4.9,16.9,4.7,10.1,4.0,6.8,,,,,,,,,,,,,,,,,,,
2015-03-01,,,,,,,,,2.8,2.6,-0.1,2.3,1.9,2.9,-18.3,-29.2,0.9,-14.4,1.8,-0.2,-0.5,0.8,4.2,2.4,3.0,1.9,0.3
2015-03-31,5.4,5.1,4.9,17.5,4.8,9.9,3.2,6.8,,,,,,,,,,,,,,,,,,,
2015-04-01,,,,,,,,,,,-0.2,2.0,1.3,2.9,-19.4,-31.7,3.8,-16.3,1.8,-0.2,-0.8,0.8,4.1,2.5,3.0,2.6,0.3
2015-04-30,5.4,5.0,5.0,17.2,4.7,9.7,4.4,6.8,,,,,,,,,,,,,,,,,,,
2015-05-01,,,,,,,,,,,0.0,1.6,0.6,3.0,-16.3,-25.0,0.5,-15.4,1.7,-0.3,-1.5,0.8,3.9,2.4,2.9,2.5,0.1
2015-05-31,5.6,5.2,5.1,17.8,4.8,10.3,4.1,6.8,,,,,,,,,,,,,,,,,,,
2015-06-01,,,,,,,,,2.2,1.4,0.1,1.8,1.0,3.0,-15.0,-23.3,0.0,-13.0,1.8,-0.4,-1.8,1.2,3.3,2.5,3.0,2.3,0.1
2015-06-30,5.3,4.8,4.7,18.0,4.6,9.7,3.9,6.7,,,,,,,,,,,,,,,,,,,
2015-07-01,,,,,,,,,,,0.2,1.6,0.9,2.7,-14.8,-22.3,-0.7,-14.2,1.8,-0.5,-1.6,0.7,3.1,2.6,3.1,2.3,0.1
2015-07-31,5.2,4.8,4.8,16.4,4.5,9.1,3.9,6.9,,,,,,,,,,,,,,,,,,,
2015-08-01,,,,,,,,,,,0.2,1.6,0.8,2.7,-15.0,-23.3,-0.6,-11.5,1.8,-0.5,-0.9,0.6,3.4,2.6,3.1,2.2,0.1
2015-08-31,5.1,4.7,4.6,16.9,4.4,9.4,3.4,6.6,,,,,,,,,,,,,,,,,,,
2015-09-01,,,,,,,,,2.1,1.4,0.0,1.6,0.8,2.9,-18.4,-29.6,-0.4,-12.1,1.9,-0.5,-1.4,0.5,2.7,2.7,3.2,2.4,0.4
2015-09-30,5.0,4.7,4.6,16.5,4.4,9.3,3.5,6.2,,,,,,,,,,,,,,,,,,,
2015-10-01,,,,,,,,,,,0.2,1.6,0.7,2.9,-17.1,-27.8,-0.5,-11.0,1.9,-0.7,-1.9,0.1,2.8,2.8,3.2,3.0,1.0
2015-10-31,5.0,4.7,4.6,15.9,4.4,9.0,3.5,6.3,,,,,,,,,,,,,,,,,,,
2015-11-01,,,,,,,,,,,0.5,1.3,0.3,2.7,-14.7,-24.1,-0.2,-11.7,2.0,-0.6,-1.5,0.2,2.5,2.9,3.2,3.1,1.3
2015-11-30,5.1,4.8,4.6,15.3,4.4,9.4,3.9,6.4,,,,,,,,,,,,,,,,,,,
2015-12-01,,,,,,,,,2.1,1.3,0.7,0.8,-0.4,2.6,-12.6,-19.7,-1.2,-14.9,2.1,-0.4,-0.9,0.2,1.5,2.9,3.2,2.9,1.4
2015-12-31,5.0,4.6,4.5,16.2,4.4,8.5,4.1,6.2,,,,,,,,,,,,,,,,,,,
2016-01-01,,,,,,,,,,,1.4,0.8,-0.5,2.7,-6.5,-7.3,-2.4,-12.7,2.2,-0.1,-0.5,0.6,2.1,3.0,3.2,3.3,1.4
2016-01-31,4.8,4.3,4.5,15.9,4.2,8.5,3.6,5.9,,,,,,,,,,,,,,,,,,,
2016-02-01,,,,,,,,,,,1.0,0.9,-0.3,2.6,-12.5,-20.7,-3.0,-10.3,2.3,0.1,0.9,0.6,2.2,3.1,3.3,3.9,1.2
2016-02-29,4.9,4.4,4.5,15.4,4.2,8.6,3.8,5.5,,,,,,,,,,,,,,,,,,,
2016-03-01,,,,,,,,,2.0,1.2,0.9,0.8,-0.5,2.7,-12.6,-20.9,-1.7,-9.2,2.2,-0.4,-0.6,0.4,2.4,3.0,3.2,3.6,1.2
2016-03-31,5.0,4.5,4.7,16.0,4.3,8.9,3.9,5.6,,,,,,,,,,,,,,,,,,,
2016-04-01,,,,,,,,,,,1.1,0.9,-0.3,2.7,-8.9,-13.8,-2.1,-6.5,2.1,-0.5,-0.6,0.0,2.7,3.0,3.2,3.1,1.2
2016-04-30,5.1,4.7,4.6,16.1,4.4,8.8,3.8,6.2,,,,,,,,,,,,,,,,,,,
2016-05-01,,,,,,,,,,,1.0,0.7,-0.7,2.6,-10.1,-16.9,-1.3,-4.7,2.2,-0.5,0.5,-0.2,2.0,3.2,3.4,3.5,1.1
2016-05-31,4.8,4.4,4.3,15.9,4.2,8.2,4.1,5.7,,,,,,,,,,,,,,,,,,,
2016-06-01,,,,,,,,,2.6,1.7,1.0,0.3,-1.3,2.6,-9.4,-15.4,-1.8,-5.0,2.2,-0.6,0.4,-0.4,2.8,3.2,3.5,3.8,1.1
2016-06-30,4.9,4.5,4.4,16.0,4.3,8.7,3.6,6.0,,,,,,,,,,,,,,,,,,,
2016-07-01,,,,,,,,,,,0.8,0.2,-1.6,2.8,-10.9,-19.9,-1.0,-0.4,2.2,-0.6,0.3,0.0,3.3,3.1,3.3,4.1,0.9
2016-07-31,4.8,4.7,4.1,15.2,4.2,8.2,3.8,5.4,,,,,,,,,,,,,,,,,,,
2016-08-01,,,,,,,,,,,1.1,0.0,-1.9,2.8,-9.2,-17.8,-0.7,1.1,2.3,-0.5,0.3,0.0,4.4,3.2,3.4,5.1,0.7
2016-08-31,4.9,4.5,4.4,15.7,4.4,8.0,4.1,5.6,,,,,,,,,,,,,,,,,,,
2016-09-01,,,,,,,,,2.4,1.8,1.5,-0.3,-2.2,2.4,-2.9,-6.5,0.1,2.9,2.2,-0.6,-0.1,0.0,5.2,3.2,3.4,4.8,0.1
2016-09-30,5.0,4.7,4.4,16.1,4.4,8.5,3.8,6.2,,,,,,,,,,,,,,,,,,,
2016-10-01,,,,,,,,,,,1.6,-0.4,-2.3,2.4,0.1,-0.9,0.4,4.8,2.1,-0.5,0.7,0.3,5.0,3.0,3.5,4.1,-0.3
2016-10-31,4.9,4.6,4.4,15.8,4.4,8.5,3.4,5.7,,,,,,,,,,,,,,,,,,,
2016-11-01,,,,,,,,,,,1.7,-0.4,-2.2,2.3,1.1,1.0,0.2,6.2,2.1,-0.7,0.3,0.2,4.3,3.0,3.6,3.9,-0.3
2016-11-30,4.7,4.4,4.3,15.5,4.2,8.2,3.1,5.6,,,,,,,,,,,,,,,,,,,
2016-12-01,,,,,,,,,2.3,1.8,2.1,-0.2,-2.0,2.3,5.4,9.1,0.7,7.8,2.2,-0.6,-0.1,0.3,4.7,3.1,3.6,3.9,-0.2
2016-12-31,4.7,4.4,4.3,14.9,4.2,8.0,2.7,5.8,,,,,,,,,,,,,,,,,,,
2017-01-01,,,,,,,,,,,2.5,-0.2,-1.9,2.4,10.8,20.3,1.0,10.1,2.3,-0.2,1.0,0.9,4.7,3.1,3.5,3.6,-0.3
2017-01-31,4.7,4.3,4.3,14.6,4.2,7.5,3.6,5.8,,,,,,,,,,,,,,,,,,,
2017-02-01,,,,,,,,,,,2.7,0.0,-1.7,2.4,15.2,30.7,1.9,10.9,2.2,-0.5,0.4,0.5,4.1,3.1,3.5,3.4,-0.3
2017-02-28,4.6,4.2,4.2,14.6,4.0,8.0,3.5,5.6,,,,,,,,,,,,,,,,,,,
2017-03-01,,,,,,,,,2.6,1.9,2.4,0.5,-0.9,2.4,10.9,19.9,1.6,10.3,2.0,-0.6,0.6,0.2,3.9,2.9,3.5,3.4,-2.2
2017-03-31,4.4,4.2,4.0,13.4,3.8,7.8,3.2,5.0,,,,,,,,,,,,,,,,,,,
2017-04-01,,,,,,,,,,,2.2,0.5,-0.8,2.3,9.3,14.3,2.4,12.0,1.9,-0.6,0.5,0.4,2.6,2.7,3.5,3.1,-2.5
2017-04-30,4.4,3.9,4.1,14.4,3.9,7.7,3.3,5.2,,,,,,,,,,,,,,,,,,,
2017-05-01,,,,,,,,,,,1.9,0.9,-0.2,2.3,5.4,5.8,2.7,12.8,1.7,-0.8,-0.9,0.3,3.3,2.6,3.3,2.5,-2.5
2017-05-31,4.4,3.9,4.1,14.2,3.7,7.7,3.6,5.2,,,,,,,,,,,,,,,,,,,
2017-06-01,,,,,,,,,2.4,2.2,1.6,0.9,-0.1,2.2,2.3,-0.4,2.5,12.8,1.7,-0.6,-0.7,0.0,3.2,2.5,3.3,2.5,-2.4
2017-06-30,4.3,3.9,3.9,13.6,3.8,6.9,3.7,5.0,,,,,,,,,,,,,,,,,,,
2017-07-01,,,,,,,,,,,1.7,1.1,0.3,2.1,3.4,3.0,2.6,7.5,1.7,-0.6,-0.4,-0.6,3.7,2.4,3.2,2.3,-2.5
2017-07-31,4.3,4.0,3.9,13.2,3.8,7.3,3.7,5.1,,,,,,,,,,,,,,,,,,,
