,Total,"Men, 20 years and over","Women, 20 years and over",16 to 19 years old,White,Black or African American,Asian,Hispanic or Latino,Wages and salaries,Benefits,All items,Food,Food at home,Food away from home,Energy,Gasoline (all types),Electricity,Natural gas (piped),All items less food and energy,Commodities less food and energy commodities,Apparel,New vehicles,Medical care commodities,Services less energy services,Shelter,Medical care services,Education and communication
2017-08-01,,,,,,,,,,,1.9,1.1,0.3,2.2,6.4,10.4,2.3,5.4,1.7,-0.9,-0.6,-0.7,2.4,2.5,3.3,1.6,-2.6
2017-08-31,4.4,4.1,4.0,13.9,3.9,7.7,3.9,5.1,,,,,,,,,,,,,,,,,,,
2017-09-01,,,,,,,,,2.6,2.4,2.2,1.2,0.4,2.4,10.1,19.3,1.7,3.8,1.7,-1.0,-0.2,-1.0,1.0,2.6,3.2,1.7,-2.1
2017-09-30,4.3,3.9,3.9,12.9,3.7,7.2,3.6,5.1,,,,,,,,,,,,,,,,,,,
2017-10-01,,,,,,,,,,,2.0,1.3,0.6,2.3,6.4,10.8,2.0,3.2,1.8,-1.0,-0.6,-1.4,0.9,2.7,3.2,1.9,-1.8
2017-10-31,4.2,3.9,3.7,14.0,3.6,7.6,3.0,5.0,,,,,,,,,,,,,,,,,,,
2017-11-01,,,,,,,,,,,2.2,1.4,0.6,2.4,9.4,16.5,2.5,3.6,1.7,-0.9,-1.6,-1.1,1.8,2.5,3.2,1.6,-1.7
2017-11-30,4.2,3.8,3.7,16.2,3.7,7.5,3.1,4.9,,,,,,,,,,,,,,,,,,,
2017-12-01,,,,,,,,,2.8,2.3,2.1,1.6,0.9,2.5,6.9,10.7,2.6,4.7,1.8,-0.7,-1.6,-0.5,2.3,2.6,3.2,1.6,-1.7
2017-12-31,4.1,3.8,3.8,13.6,3.7,6.7,2.6,5.0,,,,,,,,,,,,,,,,,,,
2018-01-01,,,,,,,,,,,2.1,1.7,1.0,2.5,5.5,8.5,2.4,0.2,1.8,-0.7,-0.7,-1.2,1.8,2.6,3.2,2.0,-1.7
2018-01-31,4.0,3.7,3.6,13.8,3.5,7.5,2.9,4.9,,,,,,,,,,,,,,,,,,,
2018-02-01,,,,,,,,,,,2.2,1.4,0.5,2.6,7.7,12.6,2.2,3.8,1.8,-0.5,0.4,-1.5,1.6,2.6,3.1,1.8,-1.8
2018-02-28,4.1,3.6,3.7,14.4,3.6,6.8,3.0,4.9,,,,,,,,,,,,,,,,,,,
2018-03-01,,,,,,,,,2.9,2.5,2.4,1.3,0.4,2.5,7.0,11.1,2.2,3.4,2.1,-0.3,0.3,-1.2,1.4,2.9,3.3,2.1,-0.2
2018-03-31,4.0,3.6,3.7,13.2,3.5,6.7,3.1,4.9,,,,,,,,,,,,,,,,,,,
2018-04-01,,,,,,,,,,,2.5,1.4,0.5,2.5,7.9,13.4,1.2,1.0,2.1,-0.4,0.8,-1.6,1.9,2.9,3.4,2.2,0.1
2018-04-30,4.0,3.7,3.6,12.7,3.6,6.4,2.9,4.8,,,,,,,,,,,,,,,,,,,
2018-05-01,,,,,,,,,,,2.8,1.2,0.1,2.7,11.7,21.8,1.0,-0.8,2.2,-0.3,1.4,-1.1,2.7,3.0,3.5,2.3,0.5
2018-05-31,3.8,3.6,3.4,13.1,3.5,5.9,2.2,4.8,,,,,,,,,,,,,,,,,,,
2018-06-01,,,,,,,,,2.9,2.8,2.9,1.4,0.4,2.8,12.0,24.3,-0.1,-2.1,2.3,-0.2,0.6,-0.5,2.4,3.1,3.4,2.5,0.8
2018-06-30,4.0,3.7,3.6,12.6,3.5,6.4,3.2,4.5,,,,,,,,,,,,,,,,,,,
2018-07-01,,,,,,,,,,,2.9,1.4,0.4,2.8,12.1,25.4,-0.8,-1.3,2.4,0.0,0.3,0.2,0.4,3.1,3.5,2.3,1.0
2018-07-31,3.8,3.4,3.6,12.9,3.4,6.5,3.0,4.5,,,,,,,,,,,,,,,,,,,
2018-08-01,,,,,,,,,,,2.7,1.4,0.5,2.6,10.2,20.3,-0.5,0.1,2.2,-0.2,-1.4,0.3,0.3,3.0,3.4,1.9,1.2
2018-08-31,3.8,3.5,3.5,12.8,3.4,6.3,2.9,4.7,,,,,,,,,,,,,,,,,,,
2018-09-01,,,,,,,,,3.1,2.5,2.3,1.4,0.4,2.6,4.8,9.1,-1.2,-1.2,2.2,-0.3,-0.6,0.5,0.7,3.0,3.3,2.0,1.2
2018-09-30,3.7,3.5,3.3,12.3,3.3,6.1,3.5,4.6,,,,,,,,,,,,,,,,,,,
2018-10-01,,,,,,,,,,,2.5,1.2,0.1,2.5,8.9,16.1,0.7,-2.1,2.1,-0.1,-0.4,0.5,0.7,2.9,3.2,1.9,0.9
2018-10-31,3.8,3.6,3.4,12.1,3.4,6.5,3.1,4.4,,,,,,,,,,,,,,,,,,,
2018-11-01,,,,,,,,,,,2.2,1.4,0.4,2.6,3.1,5.0,0.6,-2.1,2.2,0.2,-0.4,0.3,0.6,2.9,3.2,2.4,0.2
2018-11-30,3.8,3.4,3.5,12.4,3.4,6.1,2.8,4.7,,,,,,,,,,,,,,,,,,,
2018-12-01,,,,,,,,,3.1,2.6,1.9,1.6,0.6,2.8,-0.3,-2.1,1.1,2.3,2.2,0.1,-0.1,-0.3,-0.5,2.9,3.2,2.6,0.2
2018-12-31,3.9,3.6,3.5,12.6,3.5,6.6,3.3,4.4,,,,,,,,,,,,,,,,,,,
2019-01-01,,,,,,,,,,,1.6,1.6,0.6,2.8,-4.8,-10.1,0.4,4.3,2.2,0.3,0.1,0.0,-0.3,2.8,3.2,2.4,0.3
2019-01-31,4.0,3.6,3.6,13.2,3.5,7.0,3.0,4.8,,,,,,,,,,,,,,,,,,,
2019-02-01,,,,,,,,,,,1.5,2.0,1.2,2.9,-5.0,-9.1,0.0,-2.6,2.1,0.1,-0.8,0.3,-1.1,2.7,3.4,2.4,0.6
2019-02-28,3.8,3.4,3.4,13.8,3.2,7.2,3.2,4.2,,,,,,,,,,,,,,,,,,,
2019-03-01,,,,,,,,,3.0,2.4,1.9,2.1,1.4,3.0,-0.4,-0.7,0.3,-1.4,2.0,0.0,-2.2,0.7,-0.6,2.7,3.4,2.3,0.8
2019-03-31,3.8,3.5,3.4,12.7,3.3,6.7,3.0,4.7,,,,,,,,,,,,,,,,,,,
2019-04-01,,,,,,,,,,,2.0,1.8,0.7,3.1,1.7,3.1,0.6,-1.9,2.1,-0.2,-3.0,1.2,0.2,2.8,3.4,2.3,0.9
2019-04-30,3.7,3.4,3.2,13.1,3.2,6.7,2.3,4.2,,,,,,,,,,,,,,,,,,,
2019-05-01,,,,,,,,,,,1.8,2.0,1.2,2.9,-0.5,-0.2,-0.2,-2.6,2.0,-0.2,-3.1,0.9,-0.7,2.7,3.3,2.8,0.7
2019-05-31,3.6,3.3,3.3,12.9,3.2,6.1,2.6,4.2,,,,,,,,,,,,,,,,,,,
2019-06-01,,,,,,,,,3.0,1.8,1.6,1.9,0.9,3.1,-3.4,-5.4,-0.3,-2.1,2.1,0.2,-1.3,0.6,-1.5,2.8,3.5,2.8,0.6
2019-06-30,3.6,3.3,3.3,12.6,3.3,5.8,2.0,4.3,,,,,,,,,,,,,,,,,,,
2019-07-01,,,,,,,,,,,1.8,1.8,0.6,3.2,-2.0,-3.3,0.5,-2.9,2.2,0.4,-0.5,0.3,-0.4,2.8,3.5,3.3,0.6
2019-07-31,3.7,3.4,3.3,12.6,3.4,5.7,2.8,4.5,,,,,,,,,,,,,,,,,,,
2019-08-01,,,,,,,,,,,1.7,1.7,0.5,3.2,-4.4,-7.1,-0.1,-3.5,2.4,0.8,1.0,0.2,0.1,2.9,3.4,4.3,0.6
2019-08-31,3.6,3.4,3.2,12.3,3.4,5.3,2.8,4.1,,,,,,,,,,,,,,,,,,,
2019-09-01,,,,,,,,,3.0,2.0,1.7,1.8,0.6,3.2,-4.8,-8.2,0.7,-2.7,2.4,0.7,-0.3,0.1,-0.3,2.9,3.5,4.4,0.4
2019-09-30,3.5,3.3,3.1,12.2,3.2,5.3,2.5,3.9,,,,,,,,,,,,,,,,,,,
2019-10-01,,,,,,,,,,,1.8,2.1,1.0,3.3,-4.2,-7.3,0.4,0.2,2.3,0.3,-2.3,0.1,1.0,3.0,3.3,5.1,0.5
2019-10-31,3.6,3.4,3.2,11.9,3.2,5.5,2.9,4.1,,,,,,,,,,,,,,,,,,,
2019-11-01,,,,,,,,,,,2.1,2.0,1.0,3.2,-0.6,-1.2,0.5,1.1,2.3,0.1,-1.6,-0.1,0.6,3.0,3.3,5.1,1.4
2019-11-30,3.6,3.2,3.3,12.0,3.2,5.5,2.6,4.3,,,,,,,,,,,,,,,,,,,
2019-12-01,,,,,,,,,3.0,1.9,2.3,1.8,0.7,3.1,3.4,7.9,-0.4,-3.5,2.3,0.1,-1.2,0.1,2.5,3.0,3.2,5.1,1.4
2019-12-31,3.6,3.2,3.3,12.6,3.2,6.0,2.6,4.2,,,,,,,,,,,,,,,,,,,
2020-01-01,,,,,,,,,,,2.5,1.8,0.7,3.1,6.2,12.8,0.5,-3.2,2.3,-0.3,-1.3,0.1,1.7,3.1,3.3,5.1,1.5
2020-01-31,3.6,3.2,3.3,12.6,3.1,6.4,3.0,4.3,,,,,,,,,,,,,,,,,,,
2020-02-01,,,,,,,,,,,2.3,1.8,0.8,3.0,2.8,5.6,0.6,-2.0,2.4,0.0,-0.9,0.4,1.8,3.1,3.3,5.3,1.5
2020-02-29,3.5,3.2,3.1,11.4,3.0,6.1,2.5,4.3,,,,,,,,,,,,,,,,,,,
2020-03-01,,,,,,,,,3.3,1.6,1.5,1.9,1.1,3.0,-5.7,-10.2,0.2,-2.9,2.1,-0.2,-1.6,-0.4,1.3,2.8,3.0,5.5,1.5
2020-03-31,4.4,4.1,4.0,14.3,3.9,7.0,4.1,6.0,,,,,,,,,,,,,,,,,,,
2020-04-01,,,,,,,,,,,0.3,3.5,4.1,2.8,-17.7,-32.0,0.2,-1.9,1.4,-0.9,-5.7,-0.6,0.7,2.2,2.6,5.8,1.6
2020-04-30,14.8,13.0,15.5,32.8,14.2,16.9,14.5,18.9,,,,,,,,,,,,,,,,,,,
2020-05-01,,,,,,,,,,,0.1,4.0,4.8,2.9,-18.9,-33.8,-0.2,-0.3,1.2,-1.0,-7.9,-0.3,0.8,2.0,2.5,5.9,1.6
2020-05-31,13.2,11.5,13.9,30.4,12.3,16.8,15.0,17.6,,,,,,,,,,,,,,,,,,,
2020-06-01,,,,,,,,,2.9,2.0,0.6,4.5,5.6,3.1,-12.6,-23.4,0.1,-0.2,1.2,-1.1,-7.3,-0.2,1.3,1.9,2.4,6.0,1.4
2020-06-30,11.0,10.1,11.2,22.4,10.0,15.3,13.6,14.5,,,,,,,,,,,,,,,,,,,
2020-07-01,,,,,,,,,,,1.0,4.1,4.6,3.4,-11.2,-20.3,-0.1,-0.3,1.6,-0.5,-6.5,0.5,1.1,2.3,2.3,5.9,2.3
2020-07-31,10.2,9.4,10.5,19.2,9.2,14.3,12.0,12.9,,,,,,,,,,,,,,,,,,,
2020-08-01,,,,,,,,,,,1.3,4.1,4.6,3.5,-9.0,-16.8,-0.1,-0.5,1.7,0.4,-5.9,0.7,0.8,2.2,2.3,5.3,2.3
2020-08-31,8.4,7.9,8.3,16.6,7.4,12.8,10.6,10.5,,,,,,,,,,,,,,,,,,,
2020-09-01,,,,,,,,,2.7,2.0,1.4,3.9,4.1,3.8,-7.7,-15.4,0.7,3.8,1.7,1.0,-6.0,1.0,0.9,1.9,2.0,4.9,2.1
2020-09-30,7.8,7.3,7.8,16.0,7.0,11.9,8.9,10.2,,,,,,,,,,,,,,,,,,,
2020-10-01,,,,,,,,,,,1.2,3.9,4.0,3.9,-9.2,-18.0,1.3,1.8,1.6,1.2,-5.5,1.5,-0.8,1.7,2.0,3.7,2.1
2020-10-31,6.8,6.7,6.4,13.9,6.0,10.8,7.5,8.8,,,,,,,,,,,,,,,,,,,
2020-11-01,,,,,,,,,,,1.2,3.7,3.6,3.8,-9.4,-19.3,1.6,4.4,1.6,1.4,-5.2,1.6,-1.1,1.7,1.9,3.2,1.9
2020-11-30,6.7,6.6,6.2,13.8,5.9,10.2,6.7,8.6,,,,,,,,,,,,,,,,,,,
2020-12-01,,,,,,,,,2.8,2.1,1.4,3.9,3.9,3.9,-7.0,-15.2,2.2,4.1,1.6,1.7,-3.9,2.0,-2.5,1.6,1.8,2.8,2.0
2020-12-31,6.7,6.4,6.3,15.8,6.1,9.9,6.0,9.3,,,,,,,,,,,,,,,,,,,
2021-01-01,,,,,,,,,,,1.4,3.8,3.7,3.9,-3.6,-8.6,1.5,4.3,1.4,1.7,-2.5,1.4,-2.3,1.3,1.6,2.9,1.7
2021-01-31,6.4,6.1,6.0,15.0,5.7,9.3,6.6,8.5,,,,,,,,,,,,,,,,,,,
2021-02-01,,,,,,,,,,,1.7,3.6,3.5,3.7,2.4,1.5,2.3,6.7,1.3,1.3,-3.6,1.2,-2.5,1.3,1.5,3.0,1.7
2021-02-28,6.2,6.0,5.9,13.9,5.6,9.9,5.1,8.5,,,,,,,,,,,,,,,,,,,
2021-03-01,,,,,,,,,3.0,2.5,2.6,3.5,3.3,3.7,13.2,22.5,2.5,9.8,1.6,1.7,-2.5,1.5,-2.4,1.6,1.7,2.7,1.5
2021-03-31,6.1,5.8,5.8,13.0,5.4,9.9,5.9,7.9,,,,,,,,,,,,,,,,,,,
2021-04-01,,,,,,,,,,,4.2,2.4,1.2,3.8,25.1,49.6,3.6,12.1,3.0,4.4,1.9,2.0,-1.7,2.5,2.1,2.2,1.7
2021-04-30,6.1,6.0,5.7,12.0,5.3,10.2,5.7,7.9,,,,,,,,,,,,,,,,,,,
2021-05-01,,,,,,,,,,,5.0,2.2,0.7,4.0,28.5,56.2,4.2,13.5,3.8,6.5,5.6,3.3,-1.9,2.9,2.2,1.5,1.9
2021-05-31,5.8,5.8,5.3,9.7,5.1,9.1,5.7,7.2,,,,,,,,,,,,,,,,,,,
2021-06-01,,,,,,,,,3.5,2.0,5.4,2.4,0.9,4.2,24.5,45.1,3.8,15.6,4.5,8.7,4.9,5.3,-2.2,3.1,2.6,1.0,2.1
2021-06-30,5.9,5.9,5.5,11.1,5.2,9.1,5.6,7.3,,,,,,,,,,,,,,,,,,,
2021-07-01,,,,,,,,,,,5.4,3.4,2.6,4.6,23.8,41.8,4.0,19.0,4.3,8.5,4.2,6.4,-2.1,2.9,2.8,0.8,1.1
2021-07-31,5.4,5.4,5.0,10.4,4.8,8.1,5.3,6.5,,,,,,,,,,,,,,,,,,,
2021-08-01,,,,,,,,,,,5.3,3.7,3.0,4.7,25.0,42.7,5.2,21.1,4.0,7.7,4.2,7.6,-2.5,2.7,2.8,1.0,1.2
2021-08-31,5.1,5.1,4.7,11.1,4.5,8.6,4.5,6.1,,,,,,,,,,,,,,,,,,,
2021-09-01,,,,,,,,,4.6,2.6,5.4,4.6,4.5,4.7,24.8,42.1,5.2,20.6,4.0,7.3,3.4,8.7,-1.6,2.9,3.2,0.9,1.7
2021-09-30,4.7,4.7,4.3,11.3,4.2,7.7,4.2,6.2,,,,,,,,,,,,,,,,,,,
2021-10-01,,,,,,,,,,,6.2,5.3,5.4,5.3,30.0,49.6,6.5,28.1,4.6,8.4,4.3,9.8,-0.4,3.2,3.5,1.7,1.8
2021-10-31,4.5,4.2,4.2,11.3,3.9,7.6,4.2,5.7,,,,,,,,,,,,,,,,,,,
2021-11-01,,,,,,,,,,,6.8,6.1,6.4,5.8,33.3,58.1,6.5,25.1,4.9,9.4,5.0,11.1,0.2,3.4,3.8,2.1,1.7
2021-11-30,4.1,3.9,3.9,10.9,3.7,6.4,3.8,5.0,,,,,,,,,,,,,,,,,,,
2021-12-01,,,,,,,,,5.0,2.9,7.0,6.3,6.5,6.0,29.3,49.6,6.3,24.1,5.5,10.7,5.8,11.8,0.4,3.7,4.1,2.5,1.6
2021-12-31,3.9,3.6,3.6,11.0,3.3,6.9,3.8,4.6,,,,,,,,,,,,,,,,,,,
2022-01-01,,,,,,,,,,,7.5,7.0,7.4,6.4,27.0,40.0,10.7,23.9,6.0,11.7,5.3,12.2,1.4,4.1,4.4,2.7,1.6
2022-01-31,4.0,3.8,3.6,11.2,3.4,7.0,3.6,4.7,,,,,,,,,,,,,,,,,,,
2022-02-01,,,,,,,,,,,7.9,7.9,8.6,6.8,25.6,38.0,9.0,23.8,6.4,12.3,6.6,12.4,2.5,4.4,4.7,2.4,1.6
2022-02-28,3.8,3.5,3.7,10.2,3.3,6.6,2.9,4.3,,,,,,,,,,,,,,,,,,,
2022-03-01,,,,,,,,,5.0,4.1,8.5,8.8,10.0,6.9,32.0,48.0,11.1,21.6,6.5,11.7,6.8,12.5,2.7,4.7,5.0,2.9,1.5
2022-03-31,3.6,3.4,3.4,10.3,3.2,6.4,2.7,4.2,,,,,,,,,,,,,,,,,,,
2022-04-01,,,,,,,,,,,8.3,9.4,10.8,7.2,30.3,43.6,11.0,22.7,6.2,9.7,5.4,13.2,2.1,4.9,5.1,3.5,1.0
2022-04-30,3.7,3.5,3.3,10.6,3.3,6.1,3.0,4.2,,,,,,,,,,,,,,,,,,,
2022-05-01,,,,,,,,,,,8.6,10.1,11.9,7.4,34.6,48.7,12.0,30.2,6.0,8.5,5.0,12.6,2.4,5.2,5.5,4.0,0.8
2022-05-31,3.6,3.4,3.4,10.5,3.2,6.2,2.4,4.4,,,,,,,,,,,,,,,,,,,
2022-06-01,,,,,,,,,5.7,5.3,9.1,10.4,12.2,7.7,41.6,59.9,13.7,38.4,5.9,7.2,5.2,11.4,3.2,5.5,5.6,4.8,0.8
2022-06-30,3.6,3.4,3.3,10.9,3.3,5.8,2.9,4.3,,,,,,,,,,,,,,,,,,,
2022-07-01,,,,,,,,,,,8.5,10.9,13.1,7.6,32.9,44.0,15.2,30.5,5.9,7.0,5.1,10.4,3.7,5.5,5.7,5.1,0.5
2022-07-31,3.5,3.3,3.1,11.2,3.1,5.9,2.7,4.0,,,,,,,,,,,,,,,,,,,
2022-08-01,,,,,,,,,,,8.3,11.4,13.5,8.0,23.8,25.6,15.8,33.0,6.3,7.1,5.1,10.1,4.1,6.1,6.2,5.6,0.5
2022-08-31,3.6,3.5,3.2,10.2,3.2,6.4,2.8,4.5,,,,,,,,,,,,,,,,,,,
2022-09-01,,,,,,,,,5.2,5.0,8.2,11.2,13.0,8.5,19.8,18.2,15.5,33.1,6.6,6.6,5.5,9.4,3.7,6.7,6.6,6.5,0.2
2022-09-30,3.5,3.3,3.1,11.4,3.0,5.8,2.5,3.9,,,,,,,,,,,,,,,,,,,
2022-10-01,,,,,,,,,,,7.7,10.9,12.4,8.6,17.6,17.5,14.1,20.0,6.3,5.1,4.1,8.4,3.1,6.7,6.9,5.4,0.0
2022-10-31,3.6,3.3,3.4,10.6,3.2,5.8,3.0,4.2,,,,,,,,,,,,,,,,,,,
2022-11-01,,,,,,,,,,,7.1,10.6,12.0,8.5,13.1,10.1,13.7,15.5,6.0,3.7,3.6,7.2,3.1,6.8,7.1,4.4,0.7
2022-11-30,3.6,3.3,3.3,11.3,3.2,5.6,2.6,4.0,,,,,,,,,,,,,,,,,,,
2022-12-01,,,,,,,,,5.1,4.8,6.5,10.4,11.8,8.3,7.3,-1.5,14.3,19.3,5.7,2.1,2.9,5.9,3.2,7.0,7.5,4.1,0.7
2022-12-31,3.5,3.1,3.2,10.5,3.0,5.7,2.4,4.2,,,,,,,,,,,,,,,,,,,
2023-01-01,,,,,,,,,,,6.4,10.1,11.3,8.2,8.7,1.5,11.9,26.7,5.6,1.4,3.1,5.8,3.4,7.2,7.9,3.0,1.0
2023-01-31,3.4,3.2,3.1,10.5,3.1,5.4,2.9,4.7,,,,,,,,,,,,,,,,,,,
2023-02-01,,,,,,,,,,,6.0,9.5,10.2,8.4,5.2,-2.0,12.9,14.3,5.5,1.0,3.3,5.8,3.2,7.3,8.1,2.1,1.0
2023-02-28,3.6,3.3,3.3,11.1,3.2,5.7,3.4,5.4,,,,,,,,,,,,,,,,,,,
2023-03-01,,,,,,,,,5.1,4.3,5.0,8.5,8.4,8.8,-6.4,-17.4,10.2,5.5,5.6,1.5,3.3,6.1,3.6,7.1,8.2,1.0,1.4
2023-03-31,3.5,3.4,3.2,9.9,3.2,5.1,2.8,4.6,,,,,,,,,,,,,,,,,,,
2023-04-01,,,,,,,,,,,4.9,7.7,7.1,8.6,-5.1,-12.2,8.4,-2.1,5.5,2.0,3.6,5.4,4.0,6.8,8.1,0.4,1.6
2023-04-30,3.4,3.3,3.1,9.3,3.1,4.8,2.8,4.4,,,,,,,,,,,,,,,,,,,
2023-05-01,,,,,,,,,,,4.0,6.7,5.8,8.3,-11.7,-19.7,5.9,-11.0,5.3,2.0,3.5,4.7,4.4,6.6,8.0,-0.1,1.5
2023-05-31,3.7,3.5,3.3,10.3,3.3,5.7,3.0,4.1,,,,,,,,,,,,,,,,,,,
2023-06-01,,,,,,,,,4.6,3.9,3.0,5.7,4.7,7.7,-16.7,-26.5,5.4,-18.6,4.8,1.3,3.1,4.1,4.2,6.2,7.8,-0.8,1.1
2023-06-30,3.6,3.4,3.1,11.2,3.1,6.0,3.1,4.2,,,,,,,,,,,,,,,,,,,
2023-07-01,,,,,,,,,,,3.2,4.9,3.6,7.1,-12.5,-19.9,3.0,-13.7,4.7,0.8,3.2,3.5,4.1,6.1,7.7,-1.5,1.2
2023-07-31,3.5,3.4,3.1,11.3,3.1,5.7,2.3,4.4,,,,,,,,,,,,,,,,,,,
2023-08-01,,,,,,,,,,,3.7,4.3,3.0,6.5,-3.6,-3.3,2.1,-16.5,4.3,0.2,3.1,2.9,4.5,5.9,7.3,-2.1,1.0
2023-08-31,3.8,3.7,3.2,12.3,3.4,5.3,3.2,4.9,,,,,,,,,,,,,,,,,,,
2023-09-01,,,,,,,,,4.5,3.9,3.7,3.7,2.4,6.0,-0.5,3.0,2.6,-19.9,4.1,0.0,2.3,2.5,4.2,5.7,7.2,-2.6,1.0
2023-09-30,3.8,3.8,3.1,11.8,3.4,5.7,2.9,4.6,,,,,,,,,,,,,,,,,,,
2023-10-01,,,,,,,,,,,3.2,3.3,2.1,5.4,-4.5,-5.3,2.4,-15.8,4.0,0.1,2.6,1.9,4.7,5.5,6.7,-2.0,0.9
2023-10-31,3.8,3.7,3.2,13.1,3.5,5.8,3.1,4.8,,,,,,,,,,,,,,,,,,,
2023-11-01,,,,,,,,,,,3.1,2.9,1.7,5.3,-5.4,-8.9,3.4,-10.4,4.0,0.0,1.1,1.3,5.0,5.5,6.5,-0.9,-0.1
2023-11-30,3.7,3.7,3.1,11.4,3.3,5.8,3.5,4.6,,,,,,,,,,,,,,,,,,,
2023-12-01,,,,,,,,,4.3,3.6,3.4,2.7,1.3,5.2,-2.0,-1.9,3.3,-13.8,3.9,0.2,1.0,1.0,4.7,5.3,6.2,-0.5,-0.1
2023-12-31,3.7,3.5,3.3,11.9,3.5,5.2,3.1,5.0,,,,,,,,,,,,,,,,,,,
2024-01-01,,,,,,,,,,,3.1,2.6,1.2,5.1,-4.6,-6.4,3.8,-17.8,3.9,-0.3,0.1,0.7,3.0,5.4,6.0,0.6,0.0
2024-01-31,3.7,3.6,3.2,10.6,3.4,5.3,2.9,5.0,,,,,,,,,,,,,,,,,,,
2024-02-01,,,,,,,,,,,3.2,2.2,1.0,4.5,-1.9,-3.9,3.6,-8.8,3.8,-0.3,0.0,0.4,2.9,5.2,5.7,1.1,0.4
2024-02-29,3.9,3.5,3.5,12.5,3.4,5.6,3.4,5.0,,,,,,,,,,,,,,,,,,,
2024-03-01,,,,,,,,,4.3,3.6,3.5,2.2,1.2,4.2,2.1,1.3,5.0,-3.2,3.8,-0.7,0.4,-0.1,2.5,5.4,5.7,2.1,0.2
2024-03-31,3.8,3.3,3.6,12.6,3.4,6.4,2.5,4.5,,,,,,,,,,,,,,,,,,,
2024-04-01,,,,,,,,,,,3.4,2.2,1.1,4.1,2.6,1.2,5.1,-1.9,3.6,-1.3,1.3,-0.4,2.5,5.3,5.5,2.7,0.4
2024-04-30,3.9,3.6,3.5,11.7,3.5,5.6,2.8,4.8,,,,,,,,,,,,,,,,,,,
2024-05-01,,,,,,,,,,,3.3,2.1,1.0,4.0,3.7,2.2,5.9,0.2,3.4,-1.7,0.8,-0.8,3.1,5.3,5.4,3.1,0.5
2024-05-31,4.0,3.8,3.4,12.3,3.5,6.1,3.1,5.0,,,,,,,,,,,,,,,,,,,
