Month-year ,Wages and salaries,Benefits
Mar-06,2.40%,3.00%
Jun-06,2.80%,2.70%
Sep-06,3.00%,2.80%
Dec-06,3.20%,3.10%
Mar-07,3.60%,2.20%
Jun-07,3.30%,2.60%
Sep-07,3.40%,2.40%
Dec-07,3.30%,2.40%
Mar-08,3.20%,3.20%
Jun-08,3.10%,2.60%
Sep-08,2.90%,2.40%
Dec-08,2.60%,2.00%
Mar-09,2.00%,1.60%
Jun-09,1.60%,1.30%
Sep-09,1.40%,1.10%
Dec-09,1.30%,0.90%
Mar-10,1.50%,2.00%
Jun-10,1.60%,2.40%
Sep-10,1.60%,2.80%
Dec-10,1.80%,2.90%
Mar-11,1.60%,3.00%
Jun-11,1.70%,4.00%
Sep-11,1.70%,3.30%
Dec-11,1.60%,3.60%
Mar-12,1.90%,2.80%
Jun-12,1.80%,1.90%
Sep-12,1.80%,2.20%
Dec-12,1.70%,2.00%
Mar-13,1.70%,2.00%
Jun-13,1.90%,1.90%
Sep-13,1.80%,2.00%
Dec-13,2.10%,1.90%
Mar-14,1.70%,1.80%
Jun-14,1.90%,2.40%
Sep-14,2.30%,2.30%
Dec-14,2.20%,2.50%
Mar-15,2.80%,2.60%
Jun-15,2.20%,1.40%
Sep-15,2.10%,1.40%
Dec-15,2.10%,1.30%
Mar-16,2.00%,1.20%
Jun-16,2.60%,1.70%
Sep-16,2.40%,1.80%
Dec-16,2.30%,1.80%
Mar-17,2.60%,1.90%
Jun-17,2.40%,2.20%
Sep-17,2.60%,2.40%
Dec-17,2.80%,2.30%
Mar-18,2.90%,2.50%
Jun-18,2.90%,2.80%
Sep-18,3.10%,2.50%
Dec-18,3.10%,2.60%
Mar-19,3.00%,2.40%
Jun-19,3.00%,1.80%
Sep-19,3.00%,2.00%
Dec-19,3.00%,1.90%
Mar-20,3.30%,1.60%
Jun-20,2.90%,2.00%
Sep-20,2.70%,2.00%
Dec-20,2.80%,2.10%
Mar-21,3.00%,2.50%
Jun-21,3.50%,2.00%
Sep-21,4.60%,2.60%
Dec-21,5.00%,2.90%
Mar-22,5.00%,4.10%
Jun-22,5.70%,5.30%
Sep-22,5.20%,5.00%
Dec-22,5.10%,4.80%
Mar-23,5.10%,4.30%
Jun-23,4.60%,3.90%
Sep-23,4.50%,3.90%
Dec-23,4.30%,3.60%
Mar-24,4.30%,3.60%